gen,nevals,avg,max,min,std,success_rate,valid_ratio,avg_cost,avg_co2,avg_dcr,best_margins,hof_avg_cost,hof_min_cost,hof_avg_co2,hof_min_co2,hof_avg_dcr,hof_size,sep1,sep2,sep3,sep4
135,87,[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[2.77555756e-16 8.88178420e-16],100.0,100.0,30371326.226199973,94165.35212179986,0.5117547046248094,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,36004332.84673666,30246031.00436,109295.97018984322,91051.3618562,0.4322154247554226,12,|,|,|,|
136,83,[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[2.77555756e-16 8.88178420e-16],100.0,100.0,30371326.226199973,94165.35212179986,0.5117547046248094,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,36004332.84673666,30246031.00436,109295.97018984322,91051.3618562,0.4322154247554226,12,|,|,|,|
137,80,[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[2.77555756e-16 8.88178420e-16],100.0,100.0,30371326.226199973,94165.35212179986,0.5117547046248094,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,36004332.84673666,30246031.00436,109295.97018984322,91051.3618562,0.4322154247554226,12,|,|,|,|
138,79,[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[2.77555756e-16 8.88178420e-16],100.0,100.0,30371326.226199973,94165.35212179986,0.5117547046248094,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,36004332.84673666,30246031.00436,109295.97018984322,91051.3618562,0.4322154247554226,12,|,|,|,|
139,79,[0.37363945 0.51131785],[0.49428199 0.5117547 ],[0.37094616 0.49030009],[0.01638106 0.00280971],100.0,100.0,30527528.885889977,94615.37724481987,0.5113178527920464,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,36004332.84673666,30246031.00436,109295.97018984322,91051.3618562,0.4322154247554226,12,|,|,|,|
140,86,[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[2.77555756e-16 8.88178420e-16],100.0,100.0,30371326.226199973,94165.35212179986,0.5117547046248094,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,36004332.84673666,30246031.00436,109295.97018984322,91051.3618562,0.4322154247554226,12,|,|,|,|
141,88,[0.37462973 0.51000999],[0.5801449 0.5117547],[0.37094616 0.42679503],[0.02478188 0.01068767],100.0,100.0,30581421.62830077,94790.82723564588,0.5100099891104843,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35608792.55021537,30246031.00436,108240.43643470146,91051.3618562,0.43775049885693257,13,|,|,|,|
142,88,[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[2.77555756e-16 8.88178420e-16],100.0,100.0,30371326.226199973,94165.35212179986,0.5117547046248094,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35608792.55021537,30246031.00436,108240.43643470146,91051.3618562,0.43775049885693257,13,|,|,|,|
143,88,[0.37350619 0.51054278],[0.53722995 0.5117547 ],[0.37094616 0.44271347],[0.01738101 0.00761881],100.0,100.0,30516856.671385575,94601.40950748388,0.5105427815688346,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35608792.55021537,30246031.00436,108240.43643470146,91051.3618562,0.43775049885693257,13,|,|,|,|
144,86,[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[2.77555756e-16 8.88178420e-16],100.0,100.0,30371326.226199973,94165.35212179986,0.5117547046248094,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35608792.55021537,30246031.00436,108240.43643470146,91051.3618562,0.43775049885693257,13,|,|,|,|
145,82,[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[2.77555756e-16 8.88178420e-16],100.0,100.0,30371326.226199973,94165.35212179986,0.5117547046248094,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35608792.55021537,30246031.00436,108240.43643470146,91051.3618562,0.43775049885693257,13,|,|,|,|
146,79,[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[2.77555756e-16 8.88178420e-16],100.0,100.0,30371326.226199973,94165.35212179986,0.5117547046248094,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35608792.55021537,30246031.00436,108240.43643470146,91051.3618562,0.43775049885693257,13,|,|,|,|
147,88,[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[2.77555756e-16 8.88178420e-16],100.0,100.0,30371326.226199973,94165.35212179986,0.5117547046248094,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35608792.55021537,30246031.00436,108240.43643470146,91051.3618562,0.43775049885693257,13,|,|,|,|
148,85,[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[2.77555756e-16 8.88178420e-16],100.0,100.0,30371326.226199973,94165.35212179986,0.5117547046248094,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35608792.55021537,30246031.00436,108240.43643470146,91051.3618562,0.43775049885693257,13,|,|,|,|
149,80,[0.37228672 0.51110027],[0.46509309 0.5117547 ],[0.37094616 0.47593139],[0.01000705 0.00447251],100.0,100.0,30451448.38751878,94382.65413034186,0.5111002659551208,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35252916.8020657,30246031.00436,107269.10440515133,91051.3618562,0.4428837852548257,14,|,|,|,|
150,97,[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[2.77555756e-16 8.88178420e-16],100.0,100.0,30371326.226199973,94165.35212179986,0.5117547046248094,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35252916.8020657,30246031.00436,107269.10440515133,91051.3618562,0.4428837852548257,14,|,|,|,|
151,85,[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[2.77555756e-16 8.88178420e-16],100.0,100.0,30371326.226199973,94165.35212179986,0.5117547046248094,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35252916.8020657,30246031.00436,107269.10440515133,91051.3618562,0.4428837852548257,14,|,|,|,|
152,83,[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[2.77555756e-16 8.88178420e-16],100.0,100.0,30371326.226199973,94165.35212179986,0.5117547046248094,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35252916.8020657,30246031.00436,107269.10440515133,91051.3618562,0.4428837852548257,14,|,|,|,|
153,88,[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[2.77555756e-16 8.88178420e-16],100.0,100.0,30371326.226199973,94165.35212179986,0.5117547046248094,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35252916.8020657,30246031.00436,107269.10440515133,91051.3618562,0.4428837852548257,14,|,|,|,|
154,85,[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[2.77555756e-16 8.88178420e-16],100.0,100.0,30371326.226199973,94165.35212179986,0.5117547046248094,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35252916.8020657,30246031.00436,107269.10440515133,91051.3618562,0.4428837852548257,14,|,|,|,|
155,89,[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[2.77555756e-16 8.88178420e-16],100.0,100.0,30371326.226199973,94165.35212179986,0.5117547046248094,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35252916.8020657,30246031.00436,107269.10440515133,91051.3618562,0.4428837852548257,14,|,|,|,|
156,76,[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[2.77555756e-16 8.88178420e-16],100.0,100.0,30371326.226199973,94165.35212179986,0.5117547046248094,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35252916.8020657,30246031.00436,107269.10440515133,91051.3618562,0.4428837852548257,14,|,|,|,|
157,81,[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[2.77555756e-16 8.88178420e-16],100.0,100.0,30371326.226199973,94165.35212179986,0.5117547046248094,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35252916.8020657,30246031.00436,107269.10440515133,91051.3618562,0.4428837852548257,14,|,|,|,|
158,87,[0.37139955 0.51111903],[0.4162858 0.5117547],[0.37094616 0.44818698],[0.00451124 0.00632491],100.0,100.0,30399547.995111972,94235.67901684386,0.5111190273861822,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35252916.8020657,30246031.00436,107269.10440515133,91051.3618562,0.4428837852548257,14,|,|,|,|
159,89,[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[2.77555756e-16 8.88178420e-16],100.0,100.0,30371326.226199973,94165.35212179986,0.5117547046248094,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35252916.8020657,30246031.00436,107269.10440515133,91051.3618562,0.4428837852548257,14,|,|,|,|
160,84,[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[2.77555756e-16 8.88178420e-16],100.0,100.0,30371326.226199973,94165.35212179986,0.5117547046248094,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35252916.8020657,30246031.00436,107269.10440515133,91051.3618562,0.4428837852548257,14,|,|,|,|
161,81,[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[2.77555756e-16 8.88178420e-16],100.0,100.0,30371326.226199973,94165.35212179986,0.5117547046248094,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35252916.8020657,30246031.00436,107269.10440515133,91051.3618562,0.4428837852548257,14,|,|,|,|
162,91,[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[2.77555756e-16 8.88178420e-16],100.0,100.0,30371326.226199973,94165.35212179986,0.5117547046248094,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35252916.8020657,30246031.00436,107269.10440515133,91051.3618562,0.4428837852548257,14,|,|,|,|
163,82,[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[0.37094616 0.5117547 ],[2.77555756e-16 8.88178420e-16],100.0,100.0,30371326.226199973,94165.35212179986,0.5117547046248094,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35252916.8020657,30246031.00436,107269.10440515133,91051.3618562,0.4428837852548257,14,|,|,|,|
164,87,[0.37130279 0.51137819],[0.39237655 0.5117547 ],[0.36164531 0.49518722],[0.00310404 0.00209185],100.0,100.0,30400708.152701173,94200.41550659988,0.5113781934154379,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35242160.79931427,30246031.00436,107065.32530686562,91051.3618562,0.4423452945272248,14,|,|,|,|
165,90,[0.37249099 0.51043858],[0.46750954 0.5117547 ],[0.36164531 0.4775342 ],[0.01099552 0.00512515],100.0,100.0,30485693.00184557,94353.63026595187,0.510438580193057,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35242869.29919998,30246031.00436,107061.19870092276,91051.3618562,0.4420643938110496,14,|,|,|,|
166,81,[0.37193036 0.51003775],[0.43061279 0.53742425],[0.34314122 0.47670572],[0.00933343 0.00655927],100.0,100.0,30478999.14841397,94187.14306164786,0.5100377531237258,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,34831079.51435199,28918262.360199954,105740.83840599457,89069.54708179994,0.44825431064450716,15,|,|,|,|
167,96,[0.37304687 0.50725259],[0.44421852 0.53742425],[0.34314122 0.45770965],[0.01500162 0.01239374],100.0,100.0,30601795.592029963,94210.03494196787,0.5072525918244196,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,34777291.25351731,28918262.360199954,105668.65228002124,89069.54708179994,0.4470294785030053,15,|,|,|,|
168,88,[0.36904293 0.50754646],[0.44228178 0.53742425],[0.34314122 0.44758675],[0.0199381  0.01768673],100.0,100.0,30493277.571411952,93192.21145928394,0.5075464560013316,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,34508940.07000497,28918262.360199954,104899.48957533241,89069.54708179994,0.45078242105655103,16,|,|,|,|
169,94,[0.35664075 0.51568763],[0.37930398 0.53742425],[0.34314122 0.50023878],[0.00859913 0.01357346],100.0,100.0,29896787.95478673,90773.65920575192,0.5156876297453123,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,34508940.07000497,28918262.360199954,104899.48957533241,89069.54708179994,0.45078242105655103,16,|,|,|,|
170,78,[0.36164531 0.50733303],[0.36164531 0.50733303],[0.36164531 0.50733303],[1.11022302e-16 7.77156117e-16],100.0,100.0,30268946.780319944,91378.90624499995,0.5073330306548641,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,34508940.07000497,28918262.360199954,104899.48957533241,89069.54708179994,0.45078242105655103,16,|,|,|,|
171,89,[0.36164531 0.50733303],[0.36164531 0.50733303],[0.36164531 0.50733303],[1.11022302e-16 7.77156117e-16],100.0,100.0,30268946.780319944,91378.90624499995,0.5073330306548641,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,34508940.07000497,28918262.360199954,104899.48957533241,89069.54708179994,0.45078242105655103,16,|,|,|,|
172,83,[0.36164531 0.50733303],[0.36164531 0.50733303],[0.36164531 0.50733303],[1.11022302e-16 7.77156117e-16],100.0,100.0,30268946.780319944,91378.90624499995,0.5073330306548641,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,34508940.07000497,28918262.360199954,104899.48957533241,89069.54708179994,0.45078242105655103,16,|,|,|,|
173,80,[0.36164531 0.50733303],[0.36164531 0.50733303],[0.36164531 0.50733303],[1.11022302e-16 7.77156117e-16],100.0,100.0,30268946.780319944,91378.90624499995,0.5073330306548641,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,34508940.07000497,28918262.360199954,104899.48957533241,89069.54708179994,0.45078242105655103,16,|,|,|,|
174,81,[0.36164531 0.50733303],[0.36164531 0.50733303],[0.36164531 0.50733303],[1.11022302e-16 7.77156117e-16],100.0,100.0,30268946.780319944,91378.90624499995,0.5073330306548641,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,34508940.07000497,28918262.360199954,104899.48957533241,89069.54708179994,0.45078242105655103,16,|,|,|,|
175,77,[0.36164531 0.50733303],[0.36164531 0.50733303],[0.36164531 0.50733303],[1.11022302e-16 7.77156117e-16],100.0,100.0,30268946.780319944,91378.90624499995,0.5073330306548641,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,34508940.07000497,28918262.360199954,104899.48957533241,89069.54708179994,0.45078242105655103,16,|,|,|,|
176,76,[0.36164531 0.50733303],[0.36164531 0.50733303],[0.36164531 0.50733303],[1.11022302e-16 7.77156117e-16],100.0,100.0,30268946.780319944,91378.90624499995,0.5073330306548641,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,34508940.07000497,28918262.360199954,104899.48957533241,89069.54708179994,0.45078242105655103,16,|,|,|,|
177,94,[0.36164531 0.50733303],[0.36164531 0.50733303],[0.36164531 0.50733303],[1.11022302e-16 7.77156117e-16],100.0,100.0,30268946.780319944,91378.90624499995,0.5073330306548641,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,34508940.07000497,28918262.360199954,104899.48957533241,89069.54708179994,0.45078242105655103,16,|,|,|,|
178,87,[0.36164531 0.50733303],[0.36164531 0.50733303],[0.36164531 0.50733303],[1.11022302e-16 7.77156117e-16],100.0,100.0,30268946.780319944,91378.90624499995,0.5073330306548641,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,34508940.07000497,28918262.360199954,104899.48957533241,89069.54708179994,0.45078242105655103,16,|,|,|,|
179,81,[0.36164531 0.50733303],[0.36164531 0.50733303],[0.36164531 0.50733303],[1.11022302e-16 7.77156117e-16],100.0,100.0,30268946.780319944,91378.90624499995,0.5073330306548641,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,34508940.07000497,28918262.360199954,104899.48957533241,89069.54708179994,0.45078242105655103,16,|,|,|,|
180,80,[0.36164531 0.50733303],[0.36164531 0.50733303],[0.36164531 0.50733303],[1.11022302e-16 7.77156117e-16],100.0,100.0,30268946.780319944,91378.90624499995,0.5073330306548641,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,34508940.07000497,28918262.360199954,104899.48957533241,89069.54708179994,0.45078242105655103,16,|,|,|,|
181,83,[0.36164531 0.50733303],[0.36164531 0.50733303],[0.36164531 0.50733303],[1.11022302e-16 7.77156117e-16],100.0,100.0,30268946.780319944,91378.90624499995,0.5073330306548641,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,34508940.07000497,28918262.360199954,104899.48957533241,89069.54708179994,0.45078242105655103,16,|,|,|,|
182,88,[0.36322284 0.50629856],[0.48589981 0.50733303],[0.36164531 0.42990858],[0.01268638 0.00799955],100.0,100.0,30358937.496373143,91646.73053527795,0.5062985553386399,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,34762307.83397598,28918262.360199954,105613.30984460792,89069.54708179994,0.4470053230997266,15,|,|,|,|
183,86,[0.36164531 0.50733303],[0.36164531 0.50733303],[0.36164531 0.50733303],[1.11022302e-16 7.77156117e-16],100.0,100.0,30268946.780319944,91378.90624499995,0.5073330306548641,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,34762307.83397598,28918262.360199954,105613.30984460792,89069.54708179994,0.4470053230997266,15,|,|,|,|
184,86,[0.36164531 0.50733303],[0.36164531 0.50733303],[0.36164531 0.50733303],[1.11022302e-16 7.77156117e-16],100.0,100.0,30268946.780319944,91378.90624499995,0.5073330306548641,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,34762307.83397598,28918262.360199954,105613.30984460792,89069.54708179994,0.4470053230997266,15,|,|,|,|
185,83,[0.36448988 0.5069854 ],[0.52299048 0.50733303],[0.35660778 0.48731625],[0.01958483 0.00222217],100.0,100.0,30426457.678316746,91875.25899281997,0.5069853960236747,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,34502678.97255248,28918262.360199954,104861.3211240074,89069.54708179994,0.4504144626531523,16,|,|,|,|
186,81,[0.36328058 0.50619343],[0.46015478 0.52402303],[0.35630329 0.43813781],[0.01244886 0.00831696],100.0,100.0,30359992.40663554,91662.84630988796,0.5061934252475594,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,34737334.60480531,28918262.360199954,105377.43715006126,89069.54708179994,0.44620081995845384,15,|,|,|,|
187,88,[0.36456585 0.50528698],[0.52344295 0.5210368 ],[0.34821988 0.42404885],[0.02033935 0.01160937],100.0,100.0,30429286.42932194,91892.39878237195,0.5052869809319135,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,34411216.44652497,28918262.360199954,104357.1909738949,89053.49833139993,0.4508780684094839,16,|,|,|,|
188,86,[0.36343905 0.50543326],[0.52344295 0.52791428],[0.33783953 0.42404885],[0.02242375 0.01279845],100.0,100.0,30326468.319819145,91809.76965542797,0.5054332645610419,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,34404260.269012466,28806963.51999994,104267.2499677949,87630.49098419993,0.4502836951559239,16,|,|,|,|
189,81,[0.35777842 0.5077222 ],[0.46015478 0.5210368 ],[0.34821988 0.43813781],[0.01618929 0.01105319],100.0,100.0,29934220.155598346,91044.2567979519,0.5077221972223322,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,34404260.269012466,28806963.51999994,104267.2499677949,87630.49098419993,0.4502836951559239,16,|,|,|,|
190,78,[0.35660778 0.50645823],[0.35660778 0.50645823],[0.35660778 0.50645823],[3.33066907e-16 2.22044605e-16],100.0,100.0,29828299.292799946,90955.8818945999,0.5064582276306187,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,34404260.269012466,28806963.51999994,104267.2499677949,87630.49098419993,0.4502836951559239,16,|,|,|,|
191,81,[0.35660778 0.50645823],[0.35660778 0.50645823],[0.35660778 0.50645823],[3.33066907e-16 2.22044605e-16],100.0,100.0,29828299.292799946,90955.8818945999,0.5064582276306187,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,34404260.269012466,28806963.51999994,104267.2499677949,87630.49098419993,0.4502836951559239,16,|,|,|,|
192,77,[0.35660778 0.50645823],[0.35660778 0.50645823],[0.35660778 0.50645823],[3.33066907e-16 2.22044605e-16],100.0,100.0,29828299.292799946,90955.8818945999,0.5064582276306187,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,34404260.269012466,28806963.51999994,104267.2499677949,87630.49098419993,0.4502836951559239,16,|,|,|,|
193,83,[0.35660778 0.50645823],[0.35660778 0.50645823],[0.35660778 0.50645823],[3.33066907e-16 2.22044605e-16],100.0,100.0,29828299.292799946,90955.8818945999,0.5064582276306187,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,34404260.269012466,28806963.51999994,104267.2499677949,87630.49098419993,0.4502836951559239,16,|,|,|,|
194,82,[0.35660778 0.50645823],[0.35660778 0.50645823],[0.35660778 0.50645823],[3.33066907e-16 2.22044605e-16],100.0,100.0,29828299.292799946,90955.8818945999,0.5064582276306187,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,34404260.269012466,28806963.51999994,104267.2499677949,87630.49098419993,0.4502836951559239,16,|,|,|,|
195,91,[0.35660778 0.50645823],[0.35660778 0.50645823],[0.35660778 0.50645823],[3.33066907e-16 2.22044605e-16],100.0,100.0,29828299.292799946,90955.8818945999,0.5064582276306187,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,34404260.269012466,28806963.51999994,104267.2499677949,87630.49098419993,0.4502836951559239,16,|,|,|,|
196,88,[0.35660778 0.50645823],[0.35660778 0.50645823],[0.35660778 0.50645823],[3.33066907e-16 2.22044605e-16],100.0,100.0,29828299.292799946,90955.8818945999,0.5064582276306187,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,34404260.269012466,28806963.51999994,104267.2499677949,87630.49098419993,0.4502836951559239,16,|,|,|,|
197,86,[0.35660778 0.50645823],[0.35660778 0.50645823],[0.35660778 0.50645823],[3.33066907e-16 2.22044605e-16],100.0,100.0,29828299.292799946,90955.8818945999,0.5064582276306187,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,34404260.269012466,28806963.51999994,104267.2499677949,87630.49098419993,0.4502836951559239,16,|,|,|,|
198,81,[0.35660778 0.50645823],[0.35660778 0.50645823],[0.35660778 0.50645823],[3.33066907e-16 2.22044605e-16],100.0,100.0,29828299.292799946,90955.8818945999,0.5064582276306187,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,34404260.269012466,28806963.51999994,104267.2499677949,87630.49098419993,0.4502836951559239,16,|,|,|,|
199,80,[0.35660778 0.50645823],[0.35660778 0.50645823],[0.35660778 0.50645823],[3.33066907e-16 2.22044605e-16],100.0,100.0,29828299.292799946,90955.8818945999,0.5064582276306187,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,34404260.269012466,28806963.51999994,104267.2499677949,87630.49098419993,0.4502836951559239,16,|,|,|,|
200,76,[0.35660778 0.50645823],[0.35660778 0.50645823],[0.35660778 0.50645823],[3.33066907e-16 2.22044605e-16],100.0,100.0,29828299.292799946,90955.8818945999,0.5064582276306187,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,34404260.269012466,28806963.51999994,104267.2499677949,87630.49098419993,0.4502836951559239,16,|,|,|,|
